statefip,year,race,bmprison,wmprison,bmpop,wmpop,error,crack,alcohol,income,ur,poverty,black,perc1519,aidscapita,state,parole,probation,capacity_rated,capacity_operational,capacity_design,bmprate,wmprate
1,1995,1,12715,6654,508686,1519243,0,1.155848,1.8099999,19441,5.2249999,20.1,26.356558,7.4919477,8.4481478,Alabama,7793,33410,19262,19262,19262,2499.5774,437.98129
1,1996,2,13397,6940,511698,1526095,0,1.549224,1.86,20081,4.4916668,14,26.443373,7.5468783,7.8501959,Alabama,4966,37865,19927,19927,19927,2618.1458,454.75543
1,1997,1,13784,7070,517823,1535043,0,1.590946,1.8099999,20930,4.4416666,15.7,26.610456,7.5384593,4.3269873,Alabama,6356,38720,20412,20412,20412,2661.9133,460.57343
1,1998,2,14080,7062,522833,1544778,0,1.657981,1.85,22025,3.8833334,14.5,26.70941,7.493403,4.2908702,Alabama,5221,40379,21800,21800,21800,2693.0205,457.15308
1,1999,2,15206,7788,526111,1550875,0,1.549075,1.87,22722,4.2750001,15.2,26.842972,7.3990645,3.6567686,Alabama,4875,40595,21800,21800,21800,2890.2646,502.16812
1,2000,1,14727,7358,535994,1544425,0,.84357131,1.88,23764,4.0666666,13.3,26.936117,7.2434816,3.9308398,Alabama,5484,40178,,22806,22806,2747.6055,476.42328
2,1985,1,198,1238,11305,220999,0,-.0097914003,3.78,20321,9.6583328,8.6999998,5.3355293,7.45748,1.3142258,Alaska,155,2606,1968,1968,1968,1751.4374,560.18353
2,1986,2,211,1313,11734,225494,0,1.481591,3.51,19807,11.025,11.4,5.3034697,7.4073801,2.204468,Alaska,119,2885,2336,,,1798.1932,582.27716
2,1987,1,217,1348,11805,222399,0,1.612426,3.46,19357,10.166667,12,5.2643938,7.298059,1.1123676,Alaska,435,2941,,2356,,1838.2041,606.11786
2,1988,2,271,1380,12026,222289,0,1.976441,3.3199999,19907,8.7416668,11,5.2303872,7.1556787,1.2913723,Alaska,489,2994,,2793,,2253.4509,620.81342
2,1989,2,310,1420,12363,223555,0,1.1548049,3.27,21628,6.9333334,10.5,5.1979246,6.9532399,2.0103993,Alaska,533,3335,2596,,,2507.4819,635.19043
2,1990,2,288,1390,12655,225383,0,-1.166012,3.3299999,22804,7.0583334,11.4,5.0364399,6.8371019,1.8073704,Alaska,568,3599,2808,,,2275.7803,616.72797
2,1991,1,314,1414,12748,232303,0,-.34112659,3.1099999,23161,8.2666664,11.8,4.9537082,6.8573275,3.3322051,Alaska,568,3744,2523,2602,,2463.1316,608.68781
2,1992,2,327,1377,13409,239839,0,-.9158392,3.02,23786,8.9499998,10.2,5.1625433,6.959486,2.887542,Alaska,710,3014,2472,,,2438.6606,574.13513
2,1993,2,313,1325,14149,243292,0,-.1204929,2.55,24538,7.6666665,9.1000004,5.461102,7.015141,4.5042639,Alaska,685,3214,2523,2602,,2212.1704,544.61304
2,1994,1,415,1492,13258,244283,0,.32894999,3.03,25050,7.5083332,10.2,5.3420248,7.1295257,5.1383371,Alaska,412,2899,3044,,,3130.1855,610.76703
2,1995,1,440,1630,12445,244063,0,1.888664,2.8599999,25504,7.0916667,7.0999999,5.0708356,7.2672281,4.7980518,Alaska,459,3481,2603,,,3535.5564,667.86035
2,1996,1,486,1651,12226,244515,0,2.147274,2.6300001,25805,7.4583335,8.1999998,4.9712353,7.4640675,4.4366374,Alaska,642,3999,2603,,,3975.135,675.21417
2,1997,1,538,1743,12403,245058,0,1.042536,2.5599999,26759,7.0500002,8.8000002,5.138917,7.6646743,2.2839692,Alaska,472,4212,2603,2603,2603,4337.6602,711.26019
2,1998,1,509,1732,12525,246169,0,-.53157192,2.74,27560,6.1166668,9.3999996,5.2766371,7.881187,.96784806,Alaska,478,4274,2603,2691,2603,4063.8723,703.58167
2,1999,2,467,1698,12698,247685,0,3.174866,2.8199999,28100,6.1583333,7.5999999,5.3234706,7.9599347,2.2407923,Alaska,498,4547,2603,2691,2603,3677.7446,685.54816
2,2000,1,474,1764,11522,227328,0,2.1232691,2.6300001,29867,6.1750002,7.5999999,5.3758383,8.1187134,1.115186,Alaska,525,4779,2603,2691,2603,4113.8691,775.97131
4,1985,2,1297,6499,49618,1412552,0,.56328797,3.1199999,13769,6.3333335,10.7,3.5100439,7.7164164,1.3503745,Arizona,1717,18068,6595,8452,,2613.9707,460.08926
4,1986,1,1452,7148,52016,1467119,0,1.376415,3.1400001,14427,6.8583336,14.3,3.5032849,7.6993732,2.9619017,Arizona,2034,20283,,9911,,2791.4487,487.21338
4,1987,2,1675,8260,54649,1522856,0,1.091899,2.99,14985,6.4499998,12.8,3.4939847,7.6082001,4.0726786,Arizona,2224,23158,,10958,,3065.0149,542.40192
4,1988,2,1775,9199,56764,1564665,0,2.088886,2.9400001,15627,6.3333335,14.1,3.4867585,7.4851918,5.9111333,Arizona,1669,25446,,12240,12240,3126.9819,587.92139
4,1989,2,2033,10036,58755,1601313,0,1.663289,2.8900001,16403,5.2666669,14.1,3.4798274,7.3043981,6.819109,Arizona,2048,27340,,13304,,3460.1311,626.73566
4,1990,2,2283,10702,60199,1623649,0,.55475903,2.77,17005,5.2750001,13.7,3.8698525,7.1105075,8.1431084,Arizona,2711,30397,,13884,,3792.4219,659.13263
4,1991,2,2432,11569,62770,1656907,0,1.295416,2.71,17260,5.7333336,14.8,3.9716406,6.7880387,8.6312113,Arizona,2900,31972,,14994,,3874.4624,698.2287
4,1992,2,2654,12144,65182,1701557,0,1.296788,2.6900001,17777,7.3916664,15.8,4.031487,6.6782269,11.313315,Arizona,3588,34647,,15520,,4071.6763,713.69928
4,1993,2,2865,13164,67667,1755789,0,.61184478,2.6199999,18293,6.3833332,15.4,4.0697989,6.6825485,12.224999,Arizona,4017,35534,,16089,,4233.9692,749.74841
4,1994,2,3085,14503,71775,1823889,0,.44948021,2.5,19212,6.1333332,15.9,4.1674285,6.7246175,11.990326,Arizona,4351,34365,,19651,,4298.1538,795.16901
4,1995,2,3142,15793,75939,1893058,0,.42658821,2.4400001,19929,5.3499999,16.1,4.2598,6.8330526,12.272986,Arizona,4109,40614,,18486,,4137.5313,834.25867
4,1996,2,3172,16682,79642,1947032,0,1.013009,2.5799999,20823,5.5500002,20.5,4.3564472,6.9587784,8.7422113,Arizona,3785,40607,,20270,,3982.8232,856.79126
4,1997,2,3255,17490,82885,2000437,0,1.006566,2.4400001,21861,4.5916667,17.200001,4.4364505,7.0390482,4.4754157,Arizona,3378,44813,,24137,21370,3927.1279,874.30896
4,1998,2,3444,18752,86209,2051237,0,2.066896,2.4400001,23216,4.3416667,16.6,4.5358176,7.1380215,3.6860003,Arizona,3742,51329,,23036,23036,3994.9426,914.18005
4,1999,1,3539,10854,89427,2098789,0,2.2524109,2.51,24057,4.5083332,12.2,4.6258907,7.1625929,3.5630236,Arizona,3715,56960,,24310,24310,3957.4177,517.1554
4,2000,2,3544,10893,83691,1919107,0,1.574964,2.5,25660,4.0083332,11.7,4.7450771,7.1785913,2.4771914,Arizona,3474,59810,,24947,24947,4234.625,567.60773
5,1985,1,2153,2241,175163,937140,0,.148856,1.75,11260,8.5166664,22.9,16.356998,8.1632605,.34369811,Arkansas,3891,9268,,4512,,1229.1409,239.13182
5,1986,1,2238,2237,174403,939329,0,.2898038,1.63,11710,8.5166664,21.299999,16.32884,8.1755857,1.0290227,Arkansas,4023,12700,,4620,,1283.2349,238.14873
5,1987,2,2536,2634,174385,943946,0,.44979641,1.71,12085,8.1499996,21.799999,16.290709,8.0970421,1.6220635,Arkansas,3932,14609,,5400,,1454.2535,279.04138
5,1988,2,2646,2547,173972,943533,0,.74718958,1.74,12901,7.6750002,21.6,16.260614,7.9778376,2.731493,Arkansas,3840,15931,,5530,,1520.9344,269.94287
5,1989,1,3126,2877,174003,944885,0,1.423954,1.78,13781,7.0083332,18.299999,16.232267,7.7865868,3.6651986,Arkansas,3657,15552,,5790,,1796.5208,304.48151
5,1990,2,3648.5,3396,174238,948187,1,.75926912,1.86,14460,6.75,19.6,16.173077,7.6118588,3.18257,Arkansas,3971,15983,,6535,,2093.9749,358.1572
5,1991,1,4171,3134,175808,954829,0,.89804268,1.8099999,15124,7.2083335,17.299999,16.21316,7.4603548,4.6157513,Arkansas,3460,12858,,7335,,2372.4746,328.22632
5,1992,2,4449,3344,178282,963524,0,1.049516,1.9,16209,7.125,17.5,16.28474,7.4477315,4.6357923,Arkansas,3460,16448,,7614,,2495.4846,347.05933
5,1993,1,4642,3444,180986,974800,0,1.186286,1.79,16619,6.1333332,20,16.338202,7.4520531,5.8624687,Arkansas,4036,16928,,8014,,2564.8394,353.30325
5,1994,2,4612,3421,182392,986274,0,1.238474,1.65,17350,5.3499999,15.3,16.312723,7.4889965,7.3776503,Arkansas,5224,19606,8044,8044,8044,2528.6196,346.86102
5,1995,1,4841,3994,184499,998378,0,.85387248,1.7,18076,4.7916665,14.9,16.341269,7.5677633,7.3361235,Arkansas,4685,22397,8060,8060,8060,2623.8625,400.04889
5,1996,2,4873,3898,187109,1007961,0,.86035222,1.75,18926,5.1500001,17.200001,16.443939,7.6459045,5.9095473,Arkansas,5459,25178,8160,8160,8160,2604.3643,386.72131
5,1997,2,5222,4160,188307,1015160,0,.99328959,1.71,19590,5.0916667,19.700001,16.501972,7.6386051,2.8834066,Arkansas,5719,28294,8760,8760,8760,2773.1311,409.78763
5,1998,1,5421,4452,189224,1021582,0,1.012866,1.73,20489,5.0166669,14.7,16.577486,7.6328235,2.4368987,Arkansas,6979,28698,10208,10208,10208,2864.8586,435.79468
5,1999,2,4839,4885.5,191259,1026077,0,.88605201,1.75,21137,4.4416666,14.7,16.623539,7.5464768,2.3002722,Arkansas,7752,28505,10426,10426,10426,2530.0769,476.13385
5,2000,1,5772,5319,197275,1047173,0,.684843,1.74,21925,4.2083335,16.5,16.631834,7.3993492,1.7172714,Arkansas,8659,28409,10576,10576,10576,2925.865,507.939
6,1985,1,16138,29173,1006144,10984481,0,.91448712,3.1199999,16956,7.2083335,13.6,10.874739,7.5497737,5.6640778,California,30127,210449,29702,45237,29702,1603.9453,265.58377
6,1986,1,19549,34038,1031588,11226923,0,1.3747621,3.1099999,17668,6.7583332,12.7,10.868618,7.5322542,9.9831848,California,33172,218526,32853,53887,32853,1895.0396,303.18192
6,1987,1,22184,37923,1058006,11472884,0,1.615281,3.03,18549,5.8416667,12.3,10.856063,7.4432569,11.518715,California,41333,239985,,67424,41094,2096.7744,330.54462
6,1988,2,26438,41741,1085339,11719027,0,1.918534,2.9000001,19599,5.3000002,13.2,10.849557,7.3218203,13.822357,California,49364,265580,46279,70706,46279,2435.9209,356.18146
6,1989,1,30066,47496,1115120,11992364,0,2.060436,2.79,20585,5.1500001,12.9,10.843377,7.1425719,18.337824,California,57515,284437,48311,82115,48311,2696.2122,396.05203
6,1990,2,32190,54409,1151823,12224777,0,1.367013,2.78,21638,5.7666664,13.9,11.102365,6.9386067,20.337444,California,67562,305700,,,52698,2794.7002,445.0715
6,1991,2,32981,57880,1170306,12368809,0,1.2323999,2.46,21750,7.7666669,15.7,11.268958,6.6050425,22.408386,California,78724,309077,,,55692,2818.1519,467.95129
6,1992,2,34279,63015,1182709,12514729,0,1.575896,2.54,22492,9.375,16.4,11.423231,6.474586,23.793642,California,87725,300635,,,57367,2898.3462,503.52667
6,1993,1,36461,71139,1187550,12577179,0,1.413071,2.3499999,22635,9.541667,18.200001,11.583383,6.4243665,24.629953,California,80845,302645,,,63293,3070.2708,565.61969
6,1994,2,37472,74992,1185695,12604411,0,1.450593,2.24,23203,8.6333332,17.9,11.737287,6.4843912,25.688883,California,85082,277655,,,68366,3160.3406,594.96631
6,1995,2,39399,,1186676,12639706,1,.94368792,2.23,24161,7.875,16.700001,11.88276,6.599112,24.185574,California,91807,280545,,,71641,3320.1143,
6,1996,1,42300,,1193710,12726898,1,1.104322,2.24,25312,7.3416667,16.9,12.028435,6.7712865,16.181101,California,99578,286526,,,72621,3543.5742,
6,1997,1,44682,,1205860,12873778,1,.86529809,2.24,26490,6.4166665,16.6,12.139122,6.9181747,8.0096016,California,104412,304531,,,76352,3705.4053,
6,1998,1,46235,,1218231,13052211,1,.93954498,2.1700001,28374,5.9666667,15.4,12.244769,7.0743175,6.7449431,California,108424,324427,,,79875,3795.2573,
6,1999,1,46578,,1235936,13240243,1,.9050352,2.1800001,29828,5.25,14,12.362754,7.1736541,6.1941772,California,114046,332414,,154467,80272,3768.6418,
6,2000,2,46243,,1111029,10019019,1,.82867658,2.1900001,32463,4.9333334,12.7,12.446319,7.2266006,5.1954732,California,117647,343145,,154697,80467,4162.1777,
8,1985,1,665,2534,64277,1490871,0,-.086872101,3.1500001,15438,6.0083332,10.2,4.5109711,7.6485181,1.7759427,Colorado,2003,17612,3381,3381,,1034.5847,169.96776
8,1986,1,786,2796,65846,1501933,0,.2480102,2.8699999,15786,7.5166669,13.5,4.4948421,7.5978446,3.4899249,Colorado,1827,16335,3760,3760,,1193.6943,186.1601
8,1987,1,959,3465,67237,1510315,0,.30604151,2.8,16275,7.4666667,12.5,4.4746203,7.4593778,4.6918569,Colorado,1680,22981,4597,,3560,1426.298,229.42233
8,1988,2,1229,4138,67815,1508694,0,1.713306,2.72,17130,6.4083333,12.5,4.4571905,7.2835016,5.6700029,Colorado,1743,23230,4985,5058,3538,1812.2834,274.27695
8,1989,1,1492,4779,68726,1511709,0,.92334342,2.5999999,18515,5.6166668,12.1,4.4402037,7.0475955,7.295774,Colorado,1974,28037,4299,5590,3538,2170.9397,316.13226
8,1990,1,1525,4807,69915,1521414,0,.13278601,2.3900001,19575,5.1416664,13.7,4.6158686,6.8282976,9.7048693,Colorado,2396,31111,,6120,4605,2181.22,315.95609
8,1991,2,1801,5699,72408,1549561,0,.85642618,2.6099999,20160,5.4499998,10.4,4.6926584,6.5622435,11.898017,Colorado,2306,32430,,7416,6239,2487.2942,367.78159
8,1992,2,1912,6012,74685,1591409,0,1.010245,2.52,21109,6.0083332,10.8,4.7404852,6.4973102,11.842312,Colorado,2634,33700,,7496,6136,2560.0857,377.77844
8,1993,1,2152,6469,77257,1636604,0,.87438458,2.6300001,22054,5.2999997,9.8999996,4.7829986,6.5115752,12.175772,Colorado,2731,35111,,7880,6612,2785.5081,395.26971
8,1994,1,2364,7052,79433,1677673,0,1.5096,2.55,23004,4.2916665,9,4.802063,6.5921302,12.700824,Colorado,2463,39065,,8051,6848,2976.093,420.34412
8,1995,1,2496,7451,81056,1715364,0,1.29273,2.47,24226,4.0166669,8.8000002,4.797534,6.7135429,13.562766,Colorado,3024,42687,,8543,7050,3079.3525,434.36844
8,1996,1,2747,8137,82560,1748645,0,1.747329,2.5699999,25570,4.2166667,10.6,4.8224092,6.8491817,7.5765848,Colorado,3294,42688,,8605,7104,3327.2771,465.33173
8,1997,1,3030,8978,84503,1783451,0,.81728458,2.48,26846,3.4000001,8.1999998,4.8624239,6.9856281,3.9569042,Colorado,4139,45499,,9046,7643,3585.6716,503.40604
8,1998,1,3059,9770,87364,1818107,0,1.7656569,2.53,28784,3.5166667,9.1999998,4.9495363,7.1159749,3.0607493,Colorado,5204,45502,,9842,8037,3501.4421,537.37213
8,1999,1,3310,10725,89619,1855963,0,2.1916771,2.45,30492,3.0416667,8.5,5.0094194,7.1548443,2.7922266,Colorado,5263,48733,,11230,9424,3693.4133,577.86713
8,2000,2,3586,,86508,1784513,1,1.703143,2.5999999,33371,2.7416668,9.8000002,5.1044645,7.154202,2.3574233,Colorado,5500,50460,,12826,11607,4145.2813,
9,1985,2,2620,2094,118553,1405930,0,.87708008,2.8399999,18731,4.5916667,7.5999999,9.0601616,7.5103931,2.6859195,Connecticut,695,36805,6072,4968,3781,2209.9819,148.94055
9,1986,2,2890,2246,121773,1413869,0,1.217785,2.79,20024,3.7833333,6,9.0353718,7.4125137,4.5283546,Connecticut,603,41304,6072,4968,3781,2373.2683,158.85489
9,1987,1,3070,2305,125100,1420928,0,1.906172,2.79,21741,3.2083333,6.5999999,9.0095329,7.2272458,6.0349956,Connecticut,466,43659,6072,4968,3781,2454.0369,162.21793
9,1988,1,3541,2204,128791,1428658,0,2.739985,2.71,23784,2.8583333,4,8.9883661,7.0048451,7.3951049,Connecticut,371,46086,7731,7153,,2749.4158,154.27065
9,1989,1,4172,2447,131907,1430059,0,2.791543,2.54,25684,3.625,2.9000001,8.9670725,6.7237248,9.5022497,Connecticut,322,42842,7929,8722,,3162.8345,171.11182
9,1990,2,4818,2586,134570,1429381,0,2.812746,2.46,26504,4.9250002,6,8.7048435,6.4157996,10.115533,Connecticut,291,46640,9159,10075,,3580.2927,180.91748
9,1991,2,4856,2813,136898,1424212,0,2.0498631,2.29,26512,6.5416665,8.6000004,8.9519081,6.065043,12.261971,Connecticut,509,47523,9935,10928,,3547.1665,197.51273
9,1992,1,4897,2969,137181,1414678,0,3.2014141,2.3,28362,7.2916665,9.8000002,9.1212692,5.9105124,16.390404,Connecticut,483,48567,10093,11102,,3569.7363,209.87108
9,1993,1,5873,3323,138655,1410685,0,4.157567,2.2,28975,6.3583336,8.5,9.3390188,5.8636971,19.370386,Connecticut,1000,50904,12133,13347,,4235.6929,235.55933
9,1994,2,6175,3467,139314,1406692,0,4.011858,2.2,29693,5.4749999,10.8,9.4784527,5.9024081,20.837599,Connecticut,1146,53453,13363,14699,,4432.4331,246.46475
9,1995,2,6406,3538,139501,1403914,0,3.6249471,2.22,31045,5.2666669,9.6999998,9.6244249,5.9643626,22.98336,Connecticut,1233,54507,,,,4592.0815,252.00974
9,1996,2,6396,3635,140439,1403044,0,5.369555,2.1300001,32424,5.3166666,11.7,9.7830734,6.0414753,16.213697,Connecticut,1083,55978,,,,4554.2905,259.07956
9,1997,1,7456,4138,141794,1402137,0,3.724335,2.1700001,34375,4.8333335,8.6000004,9.9585476,6.1271329,8.2702665,Connecticut,996,55989,,,,5258.3325,295.12094
9,1998,1,7675,4245,144170,1401669,0,4.1989188,2.1800001,36822,3.2666667,9.5,10.192262,6.2368217,7.9932203,Connecticut,1396,55000,,,,5323.5762,302.85324
9,1999,2,8042,4550,146795,1401212,0,4.8083529,2.1800001,38332,2.6500001,7.1999998,10.395494,6.2946472,6.6442218,Connecticut,1526,55070,,,,5478.3882,324.71887
9,2000,1,7882,4524,147131,1345511,0,2.371063,2.1800001,41489,2.2583332,7.6999998,10.566577,6.4164076,6.5944576,Connecticut,1868,47636,,,,5357.1309,336.22913
10,1985,2,1356,1063,48175,246754,0,.1111244,3.1600001,15987,5.1083336,11.4,17.703888,8.069602,1.1318948,Delaware,864,7139,,2207,2217,2814.738,430.79343
10,1986,1,1545,1117,49104,250187,0,.72898889,3.1300001,16706,3.9000001,12.4,17.669279,7.9537377,3.8238358,Delaware,978,7985,,2563,2404,3146.3833,446.46603
10,1987,2,1595,1173,50130,253723,0,1.934467,3.0799999,17730,3.0916667,6.5999999,17.634352,7.7542892,4.7092729,Delaware,1100,9398,,2763,2604,3181.7275,462.31522
10,1988,2,1823,1193,51359,257433,0,2.9581239,3.03,19006,2.9166667,8.6000004,17.606497,7.5204988,5.0947704,Delaware,1093,9576,2090,2880,2090,3549.5239,463.42154
10,1989,2,2045,1141,52644,261239,0,2.8245709,2.9100001,20743,3.1083333,10,17.580656,7.2248249,7.2918186,Delaware,1013,9701,2915,3138,2015,3884.5833,436.7648
10,1990,1,2102,1079,54023,264926,0,2.4595029,2.95,21422,4.1583333,6.9000001,17.415047,6.8848972,10.603868,Delaware,1283,12223,2915,3138,2015,3890.9353,407.28354
10,1991,1,2287,1101,55860,268546,0,3.63814,2.7,22090,5.7333336,7.5,17.765415,6.3983722,10.833284,Delaware,991,13243,2915,3138,2015,4094.1641,409.98563
10,1992,1,2476,1205,57658,271248,0,3.198467,2.73,22670,5.4000001,7.8000002,18.075569,6.2209592,13.094938,Delaware,1120,14887,4009,3987,2928,4294.2871,444.24292
10,1993,2,2606,1264,59334,274250,0,2.953985,2.76,22967,4.9833331,10.2,18.3874,6.2578392,19.253147,Delaware,914,15571,,4206,3192,4392.0854,460.89334
10,1994,2,2797,1308,61051,276688,0,4.7722058,2.76,23530,4.5749998,8.3000002,18.745676,6.4064274,25.364264,Delaware,1029,15507,,4206,3192,4581.4155,472.73462
10,1995,1,2929,1431,62908,279295,0,3.909029,2.6199999,24407,4.3916664,10.3,19.138985,6.5623913,25.214666,Delaware,1033,16124,,4206,3192,4656.0054,512.36151
10,1996,1,3060,1586,64697,281239,0,3.331336,2.78,25727,4.2416668,8.6000004,19.503323,6.7267947,21.863028,Delaware,591,16528,,4206,3192,4729.7402,563.93317
10,1997,2,3237,1806,66503,283020,0,4.7078071,2.8099999,26475,3.9000001,9.6000004,19.947557,6.8735719,11.310907,Delaware,591,18837,,4206,3192,4867.4497,638.11743
10,1998,2,3260,1850,68379,284898,0,4.1464672,2.8199999,28252,3.5166667,10.3,20.34408,6.9990239,10.087315,Delaware,572,20030,,4206,3912,4767.5454,649.35522
10,1999,1,4070,2294,70994,286566,0,2.9531591,2.9000001,28925,3.3333333,10.4,20.738239,7.0749302,9.8065777,Delaware,634,20976,,4206,3912,5732.8789,800.51367
10,2000,1,3965,2355,71469,284586,0,1.800673,2.8900001,30869,3.3,8.3999996,21.016884,7.006886,12.58722,Delaware,579,20052,,4206,3192,5547.8599,827.51788
11,1985,1,6021,155,196956,92296,0,.44322661,4.9400001,18148,8.041667,20.4,71.346375,7.6838846,21.427277,District of Columbia,3504,11777,5711,6193,,3057.0281,167.93794
11,1986,1,6241,128,196978,94426,0,.8196981,4.75,19013,7.2833333,12.8,71.290062,7.6140766,33.680901,District of Columbia,2980,12307,6769,6577,,3168.374,135.55588
11,1987,1,7126,169,195462,95469,0,1.214553,4.8499999,20141,6.1750002,14.9,71.252342,7.5035086,40.657936,District of Columbia,3659,13750,7032,7341,,3645.7214,177.02081
11,1988,1,8205,254,192410,95497,0,2.30267,4.48,22273,5.0749998,15.2,71.234665,7.3596282,53.76506,District of Columbia,3949,11296,7417,,,4264.3315,265.97693
11,1989,1,9320,120,189457,95480,0,2.3887489,4.2199998,24133,5.0583334,18,71.218536,7.1399732,72.577309,District of Columbia,4915,10132,8253,9315,8253,4919.3223,125.68077
11,1990,2,9222,110,181452,93765,0,1.700183,4.1399999,26473,5.9833331,21.1,70.217514,6.6896739,86.896042,District of Columbia,5346,9742,8253,9121,7764,5082.3359,117.31456
11,1991,1,9513,188,179211,91198,0,1.91137,3.8900001,27567,7.6583333,18.6,70.813103,5.7623115,86.541183,District of Columbia,5398,10474,9788,9508,8101,5308.2681,206.14487
11,1992,2,9996,159,176687,89236,0,1.435998,4.0500002,28916,8.5666666,20.299999,71.039635,5.2334056,95.387115,District of Columbia,6294,10607,11087,11087,8746,5657.4619,178.17921
11,1993,2,10023,135,172837,88744,0,1.302171,3.78,29996,8.4499998,26.4,70.960556,5.1367292,106.66872,District of Columbia,6591,8264,10330,10330,8746,5799.1055,152.12296
11,1994,1,10129,133,167960,88380,0,1.102302,3.76,30835,8.0166664,21.200001,70.690742,5.2756181,121.17324,District of Columbia,6574,11306,7251,11099,9419,6030.6025,150.48654
11,1995,2,9070,112,163059,87503,0,.91327471,3.74,31266,8.5916672,22.200001,70.348213,5.5161176,120.23765,District of Columbia,6340,10414,7251,11099,9419,5562.4038,127.99561
11,1996,1,8617,124,156989,87186,0,.57502103,3.6300001,32786,8.5083332,24.1,69.908745,5.7706723,106.22369,District of Columbia,7120,9740,7251,9866,9419,5488.9194,142.22467
11,1997,1,8704,76,152245,87915,0,.53993273,3.75,34488,8.2749996,21.799999,69.375122,5.9953923,58.125607,District of Columbia,7761,10043,7251,9729,9419,5717.1006,86.447136
11,1998,1,9229,81,149431,87584,0,.88420957,3.55,36379,8.041667,22.299999,68.894768,6.199954,47.414326,District of Columbia,7055,11234,7973,7289,,6176.0947,92.482643
11,1999,2,8058,108,145598,89293,0,.78835809,3.45,37030,6.5166669,14.7,68.185349,6.4391727,40.68655,District of Columbia,5103,12129,5424,5424,,5534.4165,120.95013
11,2000,1,9319,311,155547,87814,0,.61081499,3.53,40456,5.6416669,15.2,67.853561,6.2693195,25.890375,District of Columbia,5332,10664,4586,4586,,5991.1152,354.15765
12,1985,2,13427,13747,734464,4666946,0,1.039094,3.04,14698,6.1500001,13.4,15.482015,6.8142791,4.5182972,Florida,4214,130399,29022,29022,33824,1828.1359,294.56094
12,1986,2,15486,15116,754279,4802328,0,1.924822,2.96,15438,5.875,11.4,15.464158,6.7711706,8.0384111,Florida,3478,139859,35982,32290,25561,2053.0864,314.76401
12,1987,1,16074,13857,776381,4939220,0,2.561353,2.95,16253,5.4583335,12.4,15.440745,6.661459,12.067724,Florida,2873,155194,36363,33140,25700,2070.3752,280.55038
12,1988,2,17510,14640,799079,5063439,0,.57712048,2.9200001,17376,5.2666669,13.6,15.430841,6.526567,15.20117,Florida,2562,165475,38894,35618,27418,2191.2727,289.13156
12,1989,2,20750,15883,823383,5201536,0,.47773159,2.9000001,18836,5.6999998,12.5,15.420786,6.3425231,20.383101,Florida,2318,192731,45293,44839,31309,2520.0908,305.35211
12,1990,2,23824,17106,856859,5353218,0,1.881816,2.96,19564,6.2583332,14.4,15.326095,6.1900024,22.219994,Florida,2064,210781,50645,45237,34826,2780.3875,319.54611
12,1991,1,25607,17323,885184,5449121,0,2.069309,2.6900001,19780,7.5749998,15.4,15.568524,5.9299922,26.073692,Florida,8155,189746,53652,47572,36470,2892.845,317.90448
12,1992,1,26823,18057,912429,5522307,0,1.911368,2.75,20417,8.3416672,15.6,15.887001,5.8293538,29.507961,Florida,14021,200471,49939,55100,37887,2939.7356,326.98291
12,1993,1,29385,19949,938907,5587170,0,2.0230629,2.6800001,21050,7.2166667,17.799999,16.168661,5.8052363,31.894457,Florida,17567,235805,54041,53501,41030,3129.7029,357.05017
